지점,지점명,일시,기온(°C)
108,서울,2022-06-18 00:01,22.8
108,서울,2022-06-18 00:02,22.8
108,서울,2022-06-18 00:03,22.8
108,서울,2022-06-18 00:04,22.8
108,서울,2022-06-18 00:05,22.8
108,서울,2022-06-18 00:06,22.8
108,서울,2022-06-18 00:07,22.8
108,서울,2022-06-18 00:08,22.8
108,서울,2022-06-18 00:09,22.8
108,서울,2022-06-18 00:10,22.8
108,서울,2022-06-18 00:11,22.8
108,서울,2022-06-18 00:12,22.8
108,서울,2022-06-18 00:13,22.8
108,서울,2022-06-18 00:14,22.8
108,서울,2022-06-18 00:15,22.8
108,서울,2022-06-18 00:16,22.8
108,서울,2022-06-18 00:17,22.8
108,서울,2022-06-18 00:18,22.8
108,서울,2022-06-18 00:19,22.8
108,서울,2022-06-18 00:20,22.7
108,서울,2022-06-18 00:21,22.7
108,서울,2022-06-18 00:22,22.7
108,서울,2022-06-18 00:23,22.7
108,서울,2022-06-18 00:24,22.7
108,서울,2022-06-18 00:25,22.7
108,서울,2022-06-18 00:26,22.7
108,서울,2022-06-18 00:27,22.7
108,서울,2022-06-18 00:28,22.7
108,서울,2022-06-18 00:29,22.7
108,서울,2022-06-18 00:30,22.7
108,서울,2022-06-18 00:31,22.7
108,서울,2022-06-18 00:32,22.7
108,서울,2022-06-18 00:33,22.7
108,서울,2022-06-18 00:34,22.7
108,서울,2022-06-18 00:35,22.7
108,서울,2022-06-18 00:36,22.7
108,서울,2022-06-18 00:37,22.7
108,서울,2022-06-18 00:38,22.7
108,서울,2022-06-18 00:39,22.7
108,서울,2022-06-18 00:40,22.7
108,서울,2022-06-18 00:41,22.7
108,서울,2022-06-18 00:42,22.7
108,서울,2022-06-18 00:43,22.7
108,서울,2022-06-18 00:44,22.7
108,서울,2022-06-18 00:45,22.7
108,서울,2022-06-18 00:46,22.7
108,서울,2022-06-18 00:47,22.7
108,서울,2022-06-18 00:48,22.7
108,서울,2022-06-18 00:49,22.6
108,서울,2022-06-18 00:50,22.6
108,서울,2022-06-18 00:51,22.7
108,서울,2022-06-18 00:52,22.6
108,서울,2022-06-18 00:53,22.6
108,서울,2022-06-18 00:54,22.6
108,서울,2022-06-18 00:55,22.6
108,서울,2022-06-18 00:56,22.6
108,서울,2022-06-18 00:57,22.6
108,서울,2022-06-18 00:58,22.6
108,서울,2022-06-18 00:59,22.6
108,서울,2022-06-18 01:00,22.6
108,서울,2022-06-18 01:01,22.6
108,서울,2022-06-18 01:02,22.6
108,서울,2022-06-18 01:03,22.6
108,서울,2022-06-18 01:04,22.6
108,서울,2022-06-18 01:05,22.6
108,서울,2022-06-18 01:06,22.6
108,서울,2022-06-18 01:07,22.6
108,서울,2022-06-18 01:08,22.6
108,서울,2022-06-18 01:09,22.6
108,서울,2022-06-18 01:10,22.6
108,서울,2022-06-18 01:11,22.6
108,서울,2022-06-18 01:12,22.6
108,서울,2022-06-18 01:13,22.6
108,서울,2022-06-18 01:14,22.6
108,서울,2022-06-18 01:15,22.6
108,서울,2022-06-18 01:16,22.6
108,서울,2022-06-18 01:17,22.6
108,서울,2022-06-18 01:18,22.6
108,서울,2022-06-18 01:19,22.6
108,서울,2022-06-18 01:20,22.6
108,서울,2022-06-18 01:21,22.6
108,서울,2022-06-18 01:22,22.5
108,서울,2022-06-18 01:23,22.6
108,서울,2022-06-18 01:24,22.6
108,서울,2022-06-18 01:25,22.5
108,서울,2022-06-18 01:26,22.5
108,서울,2022-06-18 01:27,22.5
108,서울,2022-06-18 01:28,22.5
108,서울,2022-06-18 01:29,22.5
108,서울,2022-06-18 01:30,22.5
108,서울,2022-06-18 01:31,22.5
108,서울,2022-06-18 01:32,22.5
108,서울,2022-06-18 01:33,22.5
108,서울,2022-06-18 01:34,22.5
108,서울,2022-06-18 01:35,22.5
108,서울,2022-06-18 01:36,22.5
108,서울,2022-06-18 01:37,22.5
108,서울,2022-06-18 01:38,22.5
108,서울,2022-06-18 01:39,22.5
108,서울,2022-06-18 01:40,22.4
108,서울,2022-06-18 01:41,22.4
108,서울,2022-06-18 01:42,22.4
108,서울,2022-06-18 01:43,22.4
