지점,지점명,일시,기온(°C)
108,서울,2022-06-15 00:01,17.7
108,서울,2022-06-15 00:02,17.7
108,서울,2022-06-15 00:03,17.7
108,서울,2022-06-15 00:04,17.7
108,서울,2022-06-15 00:05,17.7
108,서울,2022-06-15 00:06,17.7
108,서울,2022-06-15 00:07,17.7
108,서울,2022-06-15 00:08,17.7
108,서울,2022-06-15 00:09,17.7
108,서울,2022-06-15 00:10,17.7
108,서울,2022-06-15 00:11,17.7
108,서울,2022-06-15 00:12,17.7
108,서울,2022-06-15 00:13,17.7
108,서울,2022-06-15 00:14,17.7
108,서울,2022-06-15 00:15,17.7
108,서울,2022-06-15 00:16,17.7
108,서울,2022-06-15 00:17,17.7
108,서울,2022-06-15 00:18,17.7
108,서울,2022-06-15 00:19,17.7
108,서울,2022-06-15 00:20,17.6
108,서울,2022-06-15 00:21,17.6
108,서울,2022-06-15 00:22,17.6
108,서울,2022-06-15 00:23,17.6
108,서울,2022-06-15 00:24,17.6
108,서울,2022-06-15 00:25,17.6
108,서울,2022-06-15 00:26,17.6
108,서울,2022-06-15 00:27,17.6
108,서울,2022-06-15 00:28,17.5
108,서울,2022-06-15 00:29,17.5
108,서울,2022-06-15 00:30,17.5
108,서울,2022-06-15 00:31,17.5
108,서울,2022-06-15 00:32,17.5
108,서울,2022-06-15 00:33,17.4
108,서울,2022-06-15 00:34,17.4
108,서울,2022-06-15 00:35,17.4
108,서울,2022-06-15 00:36,17.4
108,서울,2022-06-15 00:37,17.4
108,서울,2022-06-15 00:38,17.4
108,서울,2022-06-15 00:39,17.3
108,서울,2022-06-15 00:40,17.4
108,서울,2022-06-15 00:41,17.3
108,서울,2022-06-15 00:42,17.3
108,서울,2022-06-15 00:43,17.3
108,서울,2022-06-15 00:44,17.3
108,서울,2022-06-15 00:45,17.2
108,서울,2022-06-15 00:46,17.2
108,서울,2022-06-15 00:47,17.2
108,서울,2022-06-15 00:48,17.2
108,서울,2022-06-15 00:49,17.2
108,서울,2022-06-15 00:50,17.2
108,서울,2022-06-15 00:51,17.2
108,서울,2022-06-15 00:52,17.2
108,서울,2022-06-15 00:53,17.2
108,서울,2022-06-15 00:54,17.2
108,서울,2022-06-15 00:55,17.2
108,서울,2022-06-15 00:56,17.2
108,서울,2022-06-15 00:57,17.1
108,서울,2022-06-15 00:58,17.1
108,서울,2022-06-15 00:59,17.1
108,서울,2022-06-15 01:00,17.1
108,서울,2022-06-15 01:01,17.1
108,서울,2022-06-15 01:02,17.1
108,서울,2022-06-15 01:03,17.1
108,서울,2022-06-15 01:04,17.1
108,서울,2022-06-15 01:05,17.1
108,서울,2022-06-15 01:06,17
108,서울,2022-06-15 01:07,17
108,서울,2022-06-15 01:08,17
108,서울,2022-06-15 01:09,17
108,서울,2022-06-15 01:10,17
108,서울,2022-06-15 01:11,17
108,서울,2022-06-15 01:12,17
108,서울,2022-06-15 01:13,17
108,서울,2022-06-15 01:14,17
108,서울,2022-06-15 01:15,17
108,서울,2022-06-15 01:16,17
108,서울,2022-06-15 01:17,17
108,서울,2022-06-15 01:18,17
108,서울,2022-06-15 01:19,17
108,서울,2022-06-15 01:20,17
108,서울,2022-06-15 01:21,17
108,서울,2022-06-15 01:22,17
108,서울,2022-06-15 01:23,16.9
108,서울,2022-06-15 01:24,16.9
108,서울,2022-06-15 01:25,16.9
108,서울,2022-06-15 01:26,16.9
108,서울,2022-06-15 01:27,16.9
108,서울,2022-06-15 01:28,16.9
108,서울,2022-06-15 01:29,16.9
108,서울,2022-06-15 01:30,16.9
108,서울,2022-06-15 01:31,16.9
108,서울,2022-06-15 01:32,16.9
108,서울,2022-06-15 01:33,16.9
108,서울,2022-06-15 01:34,16.9
108,서울,2022-06-15 01:35,16.9
108,서울,2022-06-15 01:36,16.9
108,서울,2022-06-15 01:37,16.9
108,서울,2022-06-15 01:38,16.9
108,서울,2022-06-15 01:39,16.9
108,서울,2022-06-15 01:40,16.9
108,서울,2022-06-15 01:41,16.9
108,서울,2022-06-15 01:42,16.9
108,서울,2022-06-15 01:43,16.9
108,서울,2022-06-15 01:44,16.8
108,서울,2022-06-15 01:45,16.8
108,서울,2022-06-15 01:46,16.8
108,서울,2022-06-15 01:47,16.8
108,서울,2022-06-15 01:48,16.8
108,서울,2022-06-15 01:49,16.8
108,서울,2022-06-15 01:50,16.8
108,서울,2022-06-15 01:51,16.7
108,서울,2022-06-15 01:52,16.7
108,서울,2022-06-15 01:53,16.7
108,서울,2022-06-15 01:54,16.7
108,서울,2022-06-15 01:55,16.7
108,서울,2022-06-15 01:56,16.6
108,서울,2022-06-15 01:57,16.6
108,서울,2022-06-15 01:58,16.6
108,서울,2022-06-15 01:59,16.5
108,서울,2022-06-15 02:00,16.5
108,서울,2022-06-15 02:01,16.5
108,서울,2022-06-15 02:02,16.5
108,서울,2022-06-15 02:03,16.5
108,서울,2022-06-15 02:04,16.5
108,서울,2022-06-15 02:05,16.4
108,서울,2022-06-15 02:06,16.4
108,서울,2022-06-15 02:07,16.4
108,서울,2022-06-15 02:08,16.4
108,서울,2022-06-15 02:09,16.3
108,서울,2022-06-15 02:10,16.3
108,서울,2022-06-15 02:11,16.3
108,서울,2022-06-15 02:12,16.3
108,서울,2022-06-15 02:13,16.3
108,서울,2022-06-15 02:14,16.3
108,서울,2022-06-15 02:15,16.2
108,서울,2022-06-15 02:16,16.2
108,서울,2022-06-15 02:17,16.2
108,서울,2022-06-15 02:18,16.2
108,서울,2022-06-15 02:19,16.2
108,서울,2022-06-15 02:20,16.2
108,서울,2022-06-15 02:21,16.1
108,서울,2022-06-15 02:22,16.1
108,서울,2022-06-15 02:23,16.1
108,서울,2022-06-15 02:24,16.1
108,서울,2022-06-15 02:25,16.1
108,서울,2022-06-15 02:26,16.1
108,서울,2022-06-15 02:27,16.1
108,서울,2022-06-15 02:28,16.1
108,서울,2022-06-15 02:29,16.1
108,서울,2022-06-15 02:30,16.1
108,서울,2022-06-15 02:31,16
108,서울,2022-06-15 02:32,16
108,서울,2022-06-15 02:33,16
108,서울,2022-06-15 02:34,16
108,서울,2022-06-15 02:35,16
108,서울,2022-06-15 02:36,15.9
108,서울,2022-06-15 02:37,16
108,서울,2022-06-15 02:38,15.9
108,서울,2022-06-15 02:39,15.9
